Amateurish! 	业余水平！ 
I'm the one who needs to step up. Remember?	有待提高的人是我。记得吗？
We got a bonus for finishing ahead of schedule.	我们因为提前完成了任务而获奖金。
Jesus Christ, Tom. 	上帝啊，汤姆。 
She should be doing her job and not bothering my advisors, 	她应该做她自己的工作，而不是来质疑我， 
You live in happy valley? He lives in happy valley too.	你不是住在跑马地的吗？他又是住跑马地的。
Lindsay found on the gun we might have something.	可能会有什么发现。
What happen to the host?	宿主是什么？
Do you want to go in? It's freezing. 	想进去吗？外面好冻。 
In other words, as organisms evolved into dozens of species, they all retained this region of this gene exactly as it was in the ancestor organism.	也就是说，生物体进化成几十种物种，它们都保有祖生物体中那段基因组。
So you killed him, right? A man that worked for my father. 	所以你杀了他，对吗？替我爸办事的人。 
The company would check huawei's equipment for bugs and install and service the equipment.	这家美国公司会检查华为产品的缺陷，负责产品的安装和售后服务。
And no enemies. 	也不树敌。 
He's toying with my mind like a cat with a ball of something. 	他在玩弄我想小猫玩什么球一样。 
We're gonna stick this in the heel of our shoe,	我们把这玩意藏在鞋后跟里，
Or you can page me at .	或者你可以呼叫我。
Even in a coma, my mother could sense trouble. 	即使被药昏过去了，我妈还是能感觉到我惹的麻烦。 
On a few nights in the spring, when the moon and the tides are just right, and this is one of them,	在春天的少数几个夜晚，当月光和潮水合适的时候，还有它们中这一位，
Don't go into their land	不经她们的国界吧
Come on. I really wanted to sing for you.	我真的想为你唱歌的。
I see you took the yo - yo over the fake teeth,	我看到你把那个悠悠球在你的假牙前面晃，
Women need to like the job of the guy they're with.	女人得喜欢和她们一起的男人的工作。
Complimentary bottle of wine. 	提供一瓶免费的葡萄酒。 
It's a zero - tolerance offence. 	是学校绝对不能容忍的行为。 
okay. Recipe number one. 	好吧，秘方一号。 
They crated him off to the zoo hospital.	他们把他送进了动物园医院。
Rising above the central plain 	中央平原之中 
You should really open up this place to the public, Pritchett.	你真的应该把这个地方向公众开放，普里切特先生。
She knows everything. Put your faith in her power.	她知道一切。请真诚地相信她。
Good. Can I get you anything? 	很好。帮你叫杯东西吧？ 
The birds position themselves one behind the other.	它们一个紧跟一个。
And christmas is a timeof love and forgiveness.	而圣诞是关于爱和原谅的节日。
You must've guessed.	你一定猜到了。
The way she smiled at them... 	她对他们微笑的样子... 
Well, I became a vegetarian.	好吧，我那时改做了素食者。
Like hot, you know? - all right. 	又性感，不是吗？- 好了。 
All right, I better get back,	好的，我要回去了，
When's the next bus for Ravenna? 	下一班往拉文纳的巴士何时到？ 
No good. Nobody does westerns any more.	不好。现在没人拍西部片
Paul pierce and ray allen are both aging and are going to need more breathers.	保罗-皮尔斯和雷-阿伦都老了，他们需要更多的休息。
I love you and I never want to lose you again. 	我爱你我不想再失去你。 
He was setting up a fall guy. Figured it was worth the risk. 	他打算找个替罪羊，以为冒个险也值。 
They may have been put away, anderton might have found them.	这些照片可能已经被收好了，只不过可能是安德顿找出来的。
If you buy something. 	你买东西么？ 
Losing a loved one heightens the risk of a heart attack.	失去心爱之人会增加患心脏病的风险。
Stop! - I can't stop. 	停下- 我停不下来。 
Key state projects proceeded smoothly.	国家重点建设进展顺利。
Speakers from industry and academia will examine the latest trends in the management of innovation, from laboratory to marketplace.	来自业界与学界的发言人将研讨从实验室到市场，创新管理的最新趋势。
Guys, when is your next album coming out?	各位你们什么时候出新专辑?
Why bother ask and why bother answer? 	施主何必问？贫尼何必说？ 
This tome has not survived; it probably defended paul of antioch.	本大部头没有存活，它可能捍卫安提阿保罗。
For example, mayor michael bloomberg comes across not only as a courageous change-agent in new york city, but a hypocritical pol.	以迈克尔•彭博市长为例，在布里尔笔下，他不仅是纽约市变革英勇无畏的推动者，还是个伪善的政客。
But you've taken the time to search question 	但是你专门腾出时间找问题 
Laurence, if I wanted somebody to puta damper on the idea, I'd have asked you first.	劳伦斯,要是我想找人说点丧气话,我第一个就会找你的.
Somewhere over the Atlantic. 	停止向控制台报告它的位置。 
I come here two years, although the deep alley; that lives in a hamlet all the time is devious god-given also and kosher.	我来这里两年了,一向栖身在一个小村的深巷;当然荒僻也可贵清净。
Oh, hello. How are you? - very well, thank you. 	噢，嗨。你好吗？- 很好，谢谢。 
He used to love watching people watch movies. 	他就喜欢看着大家看电影。 
Golfing Package 	高尔夫球包 
I want you to find them. 	我要你找到他们 
I'm out of the game. Bench me, bench me. 	我已经出局了放过我，放过我吧。 
Now, the point here is that they fought as a family. 	所以他们打仗如同一个家庭。 
Since when do you long board?	你什么时候开始玩长形板了？
When he said I got the job, I...	当他说我被录用时，我...
I'm supposed to have an appointment with Dr. McKay? 	我和麦凯医生有个预约？ 
wasn't too happy about it.	不是很高兴。
AII right! Way to go! 	太好了！这边走！ 
What will we have? We're going down. 	我们现在怎么办？我们下去。 
Indeed, the then king did on several occasions ask ethnic nepalis not to leave.	事实上，国王在那之后曾在好几个场合呼吁尼泊尔族人不要离开。
I became another shallow Hollywood celebrity,	我变成一位肤浅的好莱坞明星时开始的，
Don't panic if there's an emergency. Follow all instructions from the flight crew.	如果出现紧急情况不要惊慌，按照航务人员的所有指示做。
One of a kind. - really? 	世上仅此一件- 是吗？ 
When you are free of your attachments,	当你从执著中解脱出来时，
The way they were taking out drawers -  	拔出所有的抽屉 -  
I thought you were a drunk. 	我以为你是个酒鬼。 
Because serial killers don't dump their victims in the garbage. Let's go. Out!	因为连环杀手不会在垃圾桶里抛尸。走了。出去！
She knows things.	她了解很多事情。
Data synthesis: psychological consultation and treatment conducted in china is much later, which is immature and imperfect in many aspects, especially the ethical research and education.	资料综合:心理咨询与治疗在中国起步较晚,各方面还欠成熟和完善,尤其是伦理学研究及伦理学教育。
Get him on a low - dose vasodilator.	给他注射少量血管舒张剂。
You sent a chauffeur? How did  these people rule the world? 	你派来司机？这些人是如何来操控世界的？ 
Firms in the southern chinese manufacturing belt are being painfully squeezed.	中国南部制造产业带的企业正经历着财政拮据。
I was a scholar - warrior in training. 	我是个文武双才的秀才。 
I bought a girl at work some chocolates. 	我给公司的一个女生买了些巧克力。 
You have to go out with him? You mean out like ``out``? 	你我要和他出去约会？你的约会是指那个“约会”？ 
G 'day, Paul. How are you, mate? 	你好，保罗。你好，朋友。 
If you don't have the stomach for the spectacle, you'll find that Spain lies that way. 	如果你不能适应这个场景西班牙，就在那边请便。 
Alicante airport is approximately one hour drive away.	阿利坎特机场约一小时离去。
Count to five. 	从一数到五。 
Because you don't sort of milk the cash cow. 	因为在不能在向前走之前。 
You may want to use a backup method.	你可能需要事后防护。
Or he'll walk all over us and ruin our plans.	 或者他会走过去，我们都毁了我们的计划。
We'll help her raise the baby. 	我们得帮她抚养孩子。 
Hey, why are you taking her side?	你怎么站在她那边？
I never wanted this, alone he / she wanted. 	我没想到会变成这样子，只有他/她想。  
I take it it went well. Yeah. 	希望一切都顺利。当然。 
Hung-chien had not gone to bed yet.	鸿渐在房里还没有睡。
Like a - a Roman soldier. A general.	像古罗马士兵。像将军一样。
I get into fights with judges. 	我和法官们有争论。 
Because these results suggest that a person's attitude to life is inherited, they serve as a stark warning to all buoyant optimists that trying to cheer the rest of the world up with nothing more than a smile and an effortlessly sunny disposition is doomed to failure.	因为这些结果暗示着，一个人的生活态度得自於遗传，就像是对所有飘飘然的乐观主义者发出严峻的警告说，只想要用微笑和轻松的阳光个性来振奋这个世界，是注定要失败的。
But I want to dance with you. 	但我想和你跳。 
I assigned it a point value system, based on the alphabet,	我根据字母表，把它会成一个点值程式，
Certainly, industrialised countries are eager to argue that they remain open for business.	当然，工业国都在急切地申辩，说自己仍然对商业开放。
And his computer makes this place	他的电脑多得能把这个地方
I can't tell you... They're all sitting there...	我说不出来... 他们坐在那里...
This is, not to mince words, just insane.	如我直言，这种做法简直是荒唐的。
I think you just go away, like the light turns off.	我想就是离开了呗就像灯灭了。
There is something he guards for you. 	他留下了保护你的东西。 
No, that... That's, that's wrong. 	不，那…… 那，那不对。 
We have an opportunity.	咱面前有一个机遇。
Of course, she's not the only one with problems. They have taken everything -	当然，不只是她一个有问题。他们还要做一切-
Again I tell you, it is easier for a camel to go through the eye of a needle than for a rich man to enter the kingdom of god.	我又告诉你们，骆驼穿过针的眼，比财主进神的国还容易呢。
There's been a development in the investigation of the assassination attempt. 	总统暗杀未遂事件有了新进展。 
I mean, I'm in high school.	你看，我还在上高中。
Now he has more photo-opportunities.	现在，他有了更多的出镜机会。
Just a moment, please. There we go.	稍等一下，来了。
You just want him to have surgery 'cause it'll look good for your boards. 	你想让他做手术是为了丰富简历吧。 
You threatened to shave my head. - this is what we do. 	你还威胁说把我头发剃光- 老娘的风格如此。 
She'd kill 100...	她会杀100...
Because they'll take you away from me.	因為它們把你從我身邊帶走。
Good. I need you at least five metres from the scout ship. Close together.	好.我需要你们离侦察船至少有五米远,靠在一起.
I don't want to go on this vacation. 	我不想去度这个假了。 
Yeah, he emptied his accounts when he went underground, but he didn't get much. 	对他在潜逃前清空了账户但没拿到多少。 
And while researching Virginia, I... 	在研究弗吉尼亚的时候我... 
President sarkozy then stepped onto our boat. He started talking very agitatedly in french.	萨科奇总统跳上了我们的船.他非常激动,说了一堆法语.
An aries will have a kind of difficult choice in love this 2011.	2011年白羊座将在爱情方面面临一种困难的选择。
You go and sit down, l `ll do it 	你坐下，你坐下，我包饺子 
Friends, no school, no life.	朋友，没有学校，没有生活。
Yeah, I remember her and her punk in shining armor. 	是的，我记得她还有她一起的衣着闪亮的小阿飞。 
Because although I love him, I don't trust him.	因为尽管我爱它，我却不相信它。
Bukovak doesn't waste any time. 	布克瓦不会浪费任何时间。 
I can't because I'm with a client so  	我不可以因为我正在陪一个客人所以 
The weast and target me and vote me out.	把矛头指向我把我淘汰了。
Tourniquet. Tourniquet.	止血带。止血带。
We're not gonna start with all this puppy - dog - face, 	别来装可爱那一套， 
Yeah, I know how it is. 	我知道那感觉。 
So you have been accused of being a pedophile.	你将被指控是个恋童癖者。
Monetary policy has played a contributing role in the current cpi spike.	此番cpi快速上涨，货币政策也起到了推波助澜的作用。
I have a surgery.	我有台手术。
Perfect place for a superhero lair.	作超级英雄的秘密基地再合适不过。
I can create an acoustic fingerprint for this shooting. 	我能对这个枪声的声纹进行采样。 
We talked and laughed and had such a great time.	咱有说有笑的度过一段好时光。
All the way up here.	一直往上走。
Move the detergent. 	把洗涤剂挪一挪。 
An unnervingly prolific writer, ms oates has never before let her gaze linger so strongly on herself.	奥茨是个惊人的多产作家，但她此前从未把目光如此强烈地停驻在自己身上。
Its dominance is the result of the company's capitalizing on the chinese government's strict censorship regulations.	这种主导地位离不开公司对中国政府严格的互联网审查机制的从善如流。
All right, college boy, I'll help. 	好大，学生，我帮你。 
Uh, we lost him at the hospital, sir. 	呃，我们在医院让他跑了长官。 
I filled up there on the way into town. 	我在进城的路上在那加过油。 
But the thing is 	不过，问题是 
It still doesn't excuse some of your larger sins	可这不能作为这篇报道中
Piece of our history. 	我们历史的碎片 
Which one's foam and which one's air? 	哪个是奶油哪个是肥鸭肝？ 
Halt! - halt! 	停下！- 停下！ 
Chief, to be honest, I'm sure he has no idea. 	头儿，老实说，我确定他一点儿也不清楚。 
Ah - it messes with time, this thing.	啊-我老搞不清楚时间了。
But rozzi's team re-examined them and found one they concluded was neanderthal.	但rozzi的小组重新研究它们并发现其中一件他们可以确定为尼安德特人的。
I get to know about coma guy. 	我就能知道昏迷男人的事。 
If you know at design time what cacheability setting you need for a page, you can set cacheability declaratively.	如果您在设计时知道某页需要什么样的可缓存性设置，您可以以声明方式设置可缓存性。
If this wedding does not take place in three days,	如果三天之内婚礼仍未举行，
I fell asleep listening to the record last night, 	我昨晚听着听着睡着了， 
If the southern portion of the caribbean plate were pushed down by this action, then trinidad, grenada, barbados and the islands up toward barbuda would likewise potentially be pushed down, with islands offshore from central america likewise vulnerable.	如果加勒板块的南部由于该作用力而被往下推挤了，那么特立尼达，格林纳达(拉丁美洲岛国)，还有中美洲近海的岛屿同样会很脆弱。
Well, I may care, I may not. 	是啊，我可能关心可能不。 
But she's the one, is she ever. I'm telling you.	但是我可以告诉你，她自己就是，这样跟你说：嗜钱如命。
I'm sorry this is as far as I can take you. 	抱歉，我只能帮你到这里。 
Does nothing to relocate the source of stimulation... 	对于性高潮刺激区没多大影响... 
Not only in the ghetto, but in all of Rome	不仅仅在犹太人区，而且是整个罗马
Mike jumped to his feet and ran towards the window.	迈克跳起来，向窗口跑去。
Up to room 5. Hope these clothes fit. 	到5号房去。希望这些衣服合身。 
In theunited states, a portion of the federal governmentthat has been assisting farmers, ranchers, and construction efforts by classifying, mapping, and analyzing soils for many years; now called the nationalresources conservation service ( nrcs).	美国联邦政府的一部分，多年来已经通过土壤分类、绘制分布图和分析土壤，来帮助农场主、牧场主和施工工程；现在称为国家自然资源保护局（nrcs）。
We could use a few more ideas, lass. 	快想点更好的办法小姑娘！ 
Well, I'm still not happy to sign you off for the whole term.	我可不想给你开一整个学期的假条。
Dost thou condemn me, that thou mayest be righteous?	怎能定我为有罪，好显出你自己为义呢？
I'm staying until my daughter's house is ready. 	我等到我女儿的房子装修好就走。 
I'm going in the water to prune up a bit before I strut. 	我要下水息息火再上来招摇 
Students look up to him. 	学生们都很仰慕他。 
You think success made me lonely?	你以为是成功让我变得孤独吗？
This is Kerry kilbride reporting from Washington... 	我是克利从华盛顿报道… 
Was the person who first started our wonderful group:	创立了伟大的无神论者组织：
I never see that girl. 	我从没见过这个女孩。 
We got a regular that counts the corn flakes in his bowl	我们有个常客数他碗里的玉米片
Homo habilis really more than this forum!	这个论坛能人真多！
Here, buy a new coat. Goodbye, son. 	在这里，买新衣。再见，儿子。 
Yeah, well, I will give it back when I'm finished. 	是啦，好吧，我研究完就会还回去。 
Don't think you can make a fool out of me. I won't have to. 	你别想让我丢脸。不劳我动手。 
Lu xun is a remarkable language user, both received the passed on ( archaism) essence and opened the nimble utilization modern chinese thoroughfare.	鲁迅是一位优秀的语言大师，他继承了古汉语的精髓，同时又开启了灵活应用现代汉语的通道。
I know you love it, muscle lips. Let's go. 	我知道你喜欢他，喝下它。 
If you want to be close, dial direct. 	如果你想关闭，直接拨号。 
I didn't get any extra money.	我并没有因此得到额外报酬。
Go two miles west on Route 30 to Kenneth Road, turn right onto Kenneth Road the BEST WESTERN Westgate is on the right. 	沿30号公路向西行两英里至肯尼斯路，随后右转，即可抵达位于右侧的西门贝斯特韦斯特酒店。 
During the day you'll be normal.	你在白天与一般人无异。
Listen fella,	听好了，老弟，
Wendy at the Cryobank	精子银行的温迪
The top job in d. C., wow. 	去华盛顿当高官了。 
Stop it! Face the waII	停手！趴在墙上
To get you stop playing around with that little toy gun 	是因为为了不让你 
With all these crimes everyday? 	你还说治安好？ 
On a very important mission. 	有重要任务。 
Why, that little son of a bitch!	为什么这个该死的小子！
Wish you everything to be plain sailing throughout the coming year.	祝你在新的一年里万事一帆风顺。
Unesc, economic and social council united nations.	会议由联合国经济与社会理事会。
It sounds like the junk in that safe is worth something to you.	听起来保险箱里的东西对你来说很重要。
I saw their starved lips in the gloam with horrid warning gaped wide, and I awoke, and found me here on the cold hill side.	在幽暗里，他们的瘪嘴大张着，预告着灾祸；我一觉醒来，看见自己躺在这冰冷的山坡。
You know, you're looking at a lighter gig	你知道，你可以得到宽大处理
I know you hate me for what I did. 	我知道你为我所做的恨我。 
That's ten grand to you, pop. Too rich for my blood.	我叫你一万爷爷。太多了。
Is someone in the bathroom? 	卫生间有人吗？ 
I'm an artist, but... I sort of lost touch with that part of myself lately, 	我是个艺术家，但是最近我感觉不到那部分自己， 
Discontent was bubbling under the surface, until one day...	对我的不满会持续积累，直到爆发...
But that proved hugely problematic. Mr bush had been trying for over two years to do it-though allies, seeking to earn credit with the new administration, may now be readier to take in some of those detainees unable to go home but cleared for release through tighter judicial oversight.	布什花费了两年多的时间也没有关闭关塔那摩监狱，而现在，尽管幕僚希望赢得新政府的青睐而可能会接受部分无法回家的被关押者，他们在更严格的司法监管中被证明可被释放。
Did you see the guy in the mirror? No.	你看到镜子里那人了吗？没有。
Yeah, I just got my six - month chip. 	是啊，我刚过了六个月的疗程。 
don't ask me how she got my private line - it's unlisted. 	别问我她怎么知道我的电话号码的。我也不知道。 
And what if he does? 	如果他下手了呢？ 
I'm sure you did the best you could. We will discuss your failure later. 	我肯定你尽力了。我们呆会儿再讨论你的失利。 
How do you think l get them to double flip and play with white kids?	那你认为我是怎么让他们翻跟头还和白人小孩玩的?
Because if this is the dream...	因为如果就这就梦…
It's their obligation to give it to us	把我们应得的东西给我们是他们应尽的义务，
What did you say it's called? Polyamory. 	你说它叫什么？多角恋。 
Of course, it would be out of the question to let you remain by yourself. 	当然，这就谈不上让你自己留下了。 
A major felony for her? 	去犯刑事重罪？ 
Well, that's a big incentive - he makes $200,000 a year. 	很诱人的数目- 他每年挣20万。 
In the year that south korea sits as president of the group of 20, seoul seems determined to prove its global credentials.	在作为20国集团（g20）轮值主席国的一年，韩国似乎已下定决心要证明自己的全球资历。
But I could go for some rebound s - e - X. 	不过，可以来点治愈式的性爱。 
Follow directions to Rome, take Grande Raccordo Anulare in the direction of Florence, exit via Aurelia, follow via Baldo degli Ubaldi towards via Angelo Emo, then follow specific directions to the BEST WESTERN Hotel Spring House. 	沿指示驶向罗马，沿Grande Raccordo Anulare驶向佛罗伦萨，从via Aurelia下高速，沿via Baldo degli Ubaldi驶向via Angelo Emo，然后沿具体指示驶向贝斯特韦斯特春天酒店。 
His visa expired a year ago. - Yep.	他的签证过期一年了。- 对。
You know that song I play, "Eartha kitt times two"? Of course!	你听过我演奏的那首，“双重厄莎凯特”吗？当然听过！
The lab result's are categorical. 	化验结果很明确。 
Are you kidding me? Right. 	你在开玩笑吗？好的。 
I'm Paul. Nice to meet you. Nice to meet you. 	我是保罗。很高兴见到你们。很高兴。 
If you don't mind, lieutenant, 	如果你不介意的话，队长， 
Full of submerged reefs or sandbanks or shoals.	布满了淹没在水中的暗礁、沙丘或者浅滩。
Uterina arterial embolism combined with dilatation and curettage used for treatment of gestation in uterina incision.	子宫动脉栓塞联合刮宫术治疗子宫切口妊娠的临床应用。
I called the police, they are coming	已经报警了，警察快来了
Sources add that the final design for the widebody will be firmed up in the next five to 10 years.	消息称宽体机的最终设计将在未来的五到十年展开。
I am thankful for the multi Italiano cookbook which I got...	我很感激我能得到详细的意式料理的食谱。
Take Exit 4 Brookswood - Stay in the right lane and go over Fly Over Bridge, at the light make a left. The BEST WESTERN PLUS Sherwood Inn and Suites is on your right. 	从斯伍德区4号出口出发——在右车道行驶，穿过立交桥，在红绿灯处向左转。贝斯特韦斯特普拉斯舍伍德套房酒店就在您的右侧。 
Mm. I just did you a favor. You're double - dipping. 	嗯。我刚刚已经帮过你了。你得寸进尺哦。 
I am just the Indian father of an English daughter. 	我不过是一个英国女儿的印度父亲。 
But you know who made the film, right? 	但你知道谁做的是不是？ 
Satan represents responsibility to the responsible, instead of concern for psychic vampires!	撒旦象征关心有义务感的人，阔别不负责任的人！
Cajun Landing Exterior 	Cajun Landing餐馆外部 
Most of the burden of repairing america's public finances should certainly fall on spending.	修补美国公共财务主要的担子还是应该落在花费上。
Numbers, numbers. 	数字，给他数字。 
I obviously have the flu 	我明显是患有感冒 
Oh! Wow, congratulations. 	哦！哇，恭喜了。 
He uses a belt. It's his signature. 	他用的是带子，这是他的犯罪标志。 
I let her win. No, he didn't. 	我故意让她赢的。他才没有。 
An american-led special forces team killed an older cousin of afghanistan president hamid karzai on thursday in a night raid that aggravates tensions between the afghan leader and the u. s.over civilian deaths.	一支由美军领导的特种部队在周四的夜间袭击中打死了阿富汗总统卡尔扎伊（hamid karzai）的堂兄，加剧了这位阿富汗领导人与美国之间因平民死亡而起的紧张关系。
We need a house with a two-car garage?.	我们需要一套有两个车库的房子。
Using it to bring the dead back to life. 	使死人复活。 
Must be to scale to work. 	实在是太精细了。 
When I ask your names,	当我问你们的名字时，
Y you didn't mean that, did you?	你不是说这个啊。
Sorry if I gave you the wrong impression. 	如果我做什么让你误会了那我道歉。 
Suzie my dear, how can you stay here?	苏西亲爱的，你怎么能呆在这？
I scraped my elbow, I just need a truckload of vicodin. Whereas, this guy -	我擦破了手肘，我只是需要点维柯丁。可是，这家伙
You programmedyour speed dial? 	你设置了快速拨号了？ 
can't you get off your Novak warpath? - Nope. 	你就不能不去报复娜薇吗？- 不行。 
What was your greatest challenge and how did you overcome it?	你经历过最大的挑战是啥子？
We need to wean him off it.	他需要戒掉那个。
I don't think you do know what I'm going to say, Sara. 	我不认为你知道我要说什么，萨拉。 
Her sister was the only example she needed.	她的姐妹才是她需要的榜样。
In fact, the extent of protection provided by many procedural safeguards operates on a continuum marked by the severity of the punishment imposed.	事实上，保护在一定程度上由许多处以严厉惩罚为特点的程序保障连续运行来提供。
Tyler, have you lost your mind?	泰勒，你疯了吗？
And no worldly temptation.	当然也没有世俗纷争。
The besiegers hungered the garrison into surrender.	围攻者使守军饿得只好投降。
Because I don't forgive you. 	因为我不能原谅你。 
But in her top drawer beside the condom supplies is a petition signed by several of them: in neat writing, stating their profession: such as "public works" or "driver".	但是在书桌上格抽屉中避孕套的旁边有一份由几个客人签定的保证书，字迹很清楚，表明了他们的职业：例如“公务人员”或者“司机”。
One Carvery buffet and dessert buffet per person. 	向每人提供一份烧烤晚餐和甜点自助餐。 
He's gonna run for it. Like lightning. I'm sure. 	它马上就会领先。快如闪电。我确信。 
Not gonna try to squeeze blood from a stone. 	我可不想做那些无用功。 
Sure, let me hook you up for your time, though. 	当然，让我弥补一下你的时间，那么。 
Why not? There are two of us, Tommy. 	为什么不呢？我们有两个人汤米。 
Millions shot right to hell! 	几百万美元打水漂了！ 
Oh, well, give us a fun fact about mystic falls, something crazy. 	噢，给我们来一个小镇逸闻吧。疯狂点的。 
Only the officers get the lucky strikes. 	七星可是只有军官才有得抽啊 
You pushed me too far. My government doesn't pay as well as yorgi. 	你对我太过份了。我的政府给的也没尤里多。 
There's gotta be something I could do.	总有些我能做的事吧。
Straight male bonding, step one.	异性恋男性关系，这是第一步。
Pinch the two straps together. Pinch.	把两条带子扣在一起。扣紧。
Then when I couldn't hide it anymore, they were gonna take me somewhere.	当我藏不下去的时候，他们带我去了某个地方。
Goals regarding processing returns need to be aligned with objectives relating to timing, volume, or value of returns as these goals should drive operational priorities and activity for maximum efficiencies.	这些关于处理退货的目标需要与一些具体的目标协调一致，包括时间，容量，和退货价值，这些目标应该为效率最大化驱动运营优先权和行为。
don't do this to me. Please. I know how it sounds. 	别提那些事了。求你了。我理解这些事让你难受。 
While Rome burned?	在罗马失火的时候？
Ms. dupray was also named 'most likely to be remembered' in high school, she says, but she gave it up because each student was allowed only one such honor.	杜普雷说，在中学时，她还被选为“最可能被记住”的人，可是她最终放弃了这一头衔，因为每个学生只允许获得一项这样的荣誉。
And I don't really know what happened with that.	我真不知道她们发生了些什么。
Your parents know? Not yet.	你父母知道吗？还不知道。
I am good with time. 	有时间就好。 
Even in a state like iowa, where roughly half of republican caucus-goers identify themselves as born-again christians, mr romney is leading in some polls because the right-wing vote is so fractured.	就算像有近一半共和党员认为自己是虔诚基督徒的爱荷华州，罗姆尼也能在一些调查中领先，因为右翼人士投票太分散了。
Kind of unexpectedly.	总有点出乎意料。
Zebulon hedge, I thought you were a friend of mine. 	哲布伦·海杰，我以为你是我的朋友。 
How are you? Really? 	你好吗？说实话？ 
The delegation supported, in principle, proposals26and27which dealt with promoting technology transfer.	加拿大代表团原则上支持有关促进技术转让的提案26和27。
But once the nation receives the cash, they can then turn around and inject it into their troubled banks.	不过，一旦某国政府获得该基金的援助，它就能转而向麻烦缠身的银行注资。
It has been a long time since she disappeared. 	她已经消失很久了。 
And now he throws him scraps, odd jobs,	现在他给爸爸干杂活，
The money supply expanded by 14.6 per cent in the year to September.	截至9月，当年的货币供应增加了14。6％。
