上联 下联
吃得十年苦，结成百业开心果 换来九度香，绽放全城幸福花
春潮澎湃，渡海同窗英吉利 锡卉芬芳，缔姻合卺皋兰州
国色天香，姹紫嫣红，碧水青云欣共赏 风轻日暖，争妍斗艳，良辰美景喜同游
沐党恩，马到成功，欲穷千里目 铸伟业，羊眉吐气，更上一层楼
田边排立，白鹭似谙耕事苦 柳下飞旋，黄莺频醉画图新
仙方难治牛皮癣 美国连遭龙卷风
方庆百中 胤宗十全
大地钟灵，广筑文明路 时空秀气，宏扬雾霭天
万花深处松千尺 群鸟喧时鹤一声
鲜鱼市 义犬庵
风流花下鬼 海扁易中天
返朴归真还本性 超凡脱俗是率情
春归花映树 夏至果垂林
梦醒处，更深露重天涯望 情归时，云淡风清沧海茫
好汉坡前称快活 大夫松下识飞来
一室静修己事 万山快引人游
古寺有灵，佛日一轮崇法相 清怀无欲，丹霞七彩养禅心
雄踞北疆，根同一脉 灵分南海，恩并千秋
有情风雨砚边起 信手龙蛇笔下生
烈士英风犹在目，铁马金戈，血铸干城摧腐恶 平江美景更凝心，宏图彩笔，情燃热土壮神州
西子湖边逢暮雨 东坡路上戏朝云
明星千点灿 新月一钩弯
松间同鹤语 溪畔共琴鸣
登楼尽览江流古 别砌空留月照今
关内封侯，烂头有味 鲁邦圣化，饮水无闻
院后无尘通世外 门前有杏指桃源
布袋无双，普渡世间苦海 法门不二，虔观头上青天
且住为佳，何必园林穷胜事 集思广益，岂惟风月助清谈
甫田有渰，零露漙漙，荷耨烟蓑闻布谷 盘垄允溶，榆荚洒洒，扶犁雨笠乐迎春
冷雨敲窗风溅泪 残阳掠径月惊心
幸福体彩彩民喜爱，玩出幸福 百姓娱乐乐在其中，回报百姓
光华照眼来，谁敢歌吟？诗仙诗圣空千古 楼阁参天起，我抒感慨：唐韵唐风汇一园
龙凤呈祥兴伟业 羊猴接力绘宏图
收了相思肥了梦 舞回寂寞湿回云
大爱总无声，空气日光谁道谢 慈亲长许愿，浮云游子两来归
摇风池畔柳 向日路边葵
瑕玉能雕，疵石可磨，瑕疵之处化神奇，终成珍品 残肢傲立，疾躯坚挺，残疾其人呈健美，更上琼楼
固柏山石，澄湫水沙，愿力无穷，金磬声中皆要义 分贝叶香，聚莲花韵，禅心有悦，红尘局外岂闲居
狐臭驱朋去 梅香引客来
一院梅花堪养眼 三池菡萏可怡心
落花流水随春去 候鸟飞虫应季来
杯传花插添行色 豹变蛟腾报捷章
桃花识我当年种 人面如今何处寻
奥运圣火八万里 中华文明五千年
寿佛宛在，捧黄菌紫芝，长馨世界 大圣徜归，品金瓜玉果，不羡仙乡
今宵花落无归处 去岁燕离有返时
山水无俗情，何妨洗却凡尘修佛性 门庭多古意，不若抛开杂念养禅心
诗瘦犹怜秋色老 情浓还寄雁声高
处世抑私怀，公道抚平睢水浪 为官行德政，民心凝聚宋州城
一针见血治标本 两袖清风抓腐贪
驿路梨花轻带雨 池塘荷叶洁承珠
纵论英雄，青梅煮酒双雄会 深交挚友，赤胆掏心众友知
花花朵朵，枝枝叶叶，蜂蜂鸟鸟梨园乐 仄仄平平，古古今今，挫挫扬扬满纸香
斗转星移，锦绣侗乡春又满 安居乐业，勤劳民族梦常圆
运河涌玉，洪泽流金，大业锦添花，笑看古城开虎步 北马驮春，南船载福，繁华今胜昔，醉听青浦起龙吟
一枝红杏沾春雨 千婷黄鹤傲秋风
裁云补月风多事 造雨滋田地有知
一窗金石气 满室墨花香
世事少从容，将满腹怨尤，向她倾诉 人心何浅薄？有一园蕴藉，伴我归来
与世无争心坦荡 为人豁达自逍遥
众山投我抱 一水护心田
揭竿而起，星火燎原，镰斧终开世界 改革以兴，东风乘势，铜鼓再振天声
宝藏在马耳山间，不许瞒心人苟得 财源若龙江水下，只容抱义者长招
未须百事必如意 且喜六时长见书
去去来来，魂魂魄魄，处处颠颠倒倒 年年月月，水水山山，时时翠翠青青
红梅添异彩 录村绽奇葩
几多雅趣随琴逸 如许豪情伴酒生
天赐麒麟亲抱送 身随灵鹫快飞来
莫重天功轻小善 欲明大义纳微言
燕子播春光，几分红，几分绿 贵人行大礼，一半福，一半祥
三千世界笙歌里 十二都城锦绣中
劈山探宝 踏雪寻煤
水流春光雨流芳，天长地久 嫣抛媚眼风抛絮，意满情深
百年大观，汇商号商家商客，洋洋大观，万紫千红生意满 九州名埠，聚精英精品精华，赫赫名埠，五光十色货源丰
观赏丁香开觉悟 流连画境醉人生
无明能断苦能灭 胜解现圆佛现身
日近京都多俊迈 藻鸿骈俪用熙时
东风浩浩，致富途上，奠基拓路重振家 号角声声，攻坚令前，决胜开局又逢春
荩相名王传静土 云华黛影绚精蓝
宜将剩勇追穷寇 莫学贪官落骂名
倚玉难藏拙 登山勿厌高
小镇风流在，抚古店痕，伟人迹，引远客怀诚，仁义堂前深揖拜 新时画卷开，喜长街丽，大业兴，听春莺亮嗓，帆樯影里纵歌吟
明清建筑妙如神，举世文明，喜观天井通天下 山水风光谁绘锦？无边江山，堪以地维丈地垠
生财从大道，澄澈天下 处世守中和，贤懿古今
此身最爱河东柳 我性偏怜雪里梅
老街亮美姿，琅邪更焕千秋韵 新貌呈仙景，故郡尤涵万载春
意象孕精神，先下功夫，后惊世界 盆中藏哲学，名为艺术，实是人生
永日韶华声合吕 春风雨露菊含芳
茗熟香凝，无非书味 风清月皎，总助人思
登台仁寿宇 吹律太平年
山门未锁任春问 石径新开有月来
满道花红铺寂寞 一天霞彩染辉煌
侍雪梅花香冷艳 经霜松果色味浓
风摆李枝摇婷玉 金生丽水赋诗篇
固执 颟顸
唯向大乘寻启迪 更从圆觉悟真如
复唱，轻吟，低叹，阳关三叠，声声慢 合旋，重音，民乐，麦秀两岐，调调缓
自古忠臣孝子，当紧要路头，能明大节 至今赵北燕南，多相同坂地，不复唐时
讲堂授业，曾植芬芳桃李满天下 网络开坛，又育葱郁禾苗遍九州
诗中生联子超父 篮里提笋母抱儿
熏陶和气一千日 全活饥民十万家
志高心必苦 言巧路常通
动魄神龙，撷风裹雨盘峻岭 惊心造化，缩地移江入画图
公德无穷，于民于国 墓园有利，为死为生
密钥无端开锈锁 高谋有意激将心
赋诗情万里 风云入心怀
轻舟摇晚照 长笛弄行云
澴水腾蛟，云行雨作，柳浪如潮，百里长堤莺织柳 丹阳起凤，日出霞飞，花光流火，千秋古道蝶恋花
诗书鼻祖，文化存根，简牍亦记山河壮 千载奇葩，三湘瑰宝，笔墨长含日月香
景泰时和，大同天地 花香木秀，长治风光
水煮红莲，轻烟弥古渡 松熏白鹤，重岭待归人
春色无边称禹甸 世风有道胜尧天
浅淡 萧疏
友聚黄梅，三楚人文昭八表 联吟赤县，四时天地兢千姿
劲节虚心竹翠 耐寒傲骨梅馨
望牛墩上叹银河，两处相思，金风几度 乞巧乡间圆好梦，一条红线，大爱百年
停杯漫赏溪桥月 出扇轻摇画榭风
作客受邀金谷园，当知东石也 行人独往大溪地，可遇法郎乎
多栽桃李期春色 不得溪山养性情
上海狂涛狂海上 南江秀水秀江南
月移竹影荫书案 风渡箫声卷翠帘
宣道以文，百载耕耘传喜讯 福音若水，千秋憧憬汇洪流
主恩前后三持节 臣本烟波一钓徒
日丽风和，两江四岸春先到 花娇草嫩，万紫千红福早临
数千年历史，俯万里江山，民无今日强，国无今日盛 庆甲子生辰，歌三旬改革，人在此时乐，梦在此时圆
万卷书中寻好句 五线谱上觅强音
刻意经营收获少 潜心学习得分多
清风自朗概而来，把课本翻开，将书声染绿 碧水从资江以入，为心灵灌溉，给祖国添娇
常听窗外风，自信清风能荡浊 总赏穹中月，多为明月可澄怀
晓霞映彩明千丽 东日盈辉灿九州
但思藏雪花重瓣 当领悟情意六合
葛 瓜
人生不得意，十有八九 鹏搏扶摇天，一飞宇穹
北海春深，琼岛瑶池，自有皇家气象 西宫月朗，奇珍美味，更多御膳风情
雪岭红梅独一品 春江明月更无双
杯中一剪玲珑月 网上几丝相思情
缕缕清风翻玉带 冉冉红日染丹霞
友情应似花香淡 思念自如月色浓
尘湮文字输肝胆 风雨人生鉴知音
四方商客天露润 八宝铜都地税丰
情若纤云容易散 事如流水总无痕
夏夜追凉，老翁留月看茅舍 阳台拾趣，童子听风翻史书
健笔写春秋，高树丰碑三部曲 盛名传宇宙，长怀文苑百年人
出门当履圣经训 闭户即焚祈祷香
古赵富歌喧，老叟挥锤擂旺鼓 新村花雨乱，飞红碰脸笑丰年
扬鞭催骏马 妙笔绘新图
月落西窗谁醉梦 花开南院我相思
夏衍传秋瑾 吕布爱貂蝉
龙归塞北长城雪 蛇到江南大地春
无锡锡山山无锡 平湖湖水水平湖
一纸传真意 片言得色心
夜深才到皆因醉 酒醒方知已嫁人
一线系姻缘，何须问今世修来、前生注定 百年臻幸福，最好是青春作伴、白首相依
空有诗书万卷 不知天下三分
合作医疗，巧治千家病 农村低保，温暖万人心
绿到诗家无俗句 情生意境更高层
百越祀千秋，懿范慈容，圣母未输男子概 三朝归一统，仁风德政，英雄原是女儿身
书藏文史通今古 笔走龙蛇效柳颜
鸿雁南飞，秋风万里陇山峻 红军北上，豪气千年延水长
虚己授人，彼其之子，殊异乎俗 实事求是，夫惟大雅，卓尔不群
共拓财源强国力 同兴税业利民生
纳米 镀金
席有佳人持玉酿 座无客套罄金瓯
人生处处逢知己 历史朝朝有乱音
马步新程，九天溢彩 羊开泰运，四野生春
包拯雄风千年颂 雷锋精神万代传
千条江河济大海 万座山岳擎苍天
牡丹不入梅花眼 明月当知赤子心
笔下文章揩狗屁 朝中将相悦龙颜
海峡难隔同心，共盼江山归一统 国土终成整体，各披肝胆照千秋
九九重阳，社会温馨皆敬老 三三胜日，山川明丽倍生情
竹径赛诗无俗句 桃园结义有高怀
不临海难知井浅 要登山才晓天高
清平得路先机妙 华茂执中熙事多
读观音岩，阅文峰塔，探秘犀牛洞，内外两潭匀冷热 开几字峡，生石壁风，成功白虎滩，东西一水洗春秋
隋堤上曾见几番，垂杨漫结黄金缕 桃源路欲回双桨，雨荷风卷绿罗裳
雨巷春风梳弱柳 清江云雾锁心舟
迎春踏雪梅花印 辞岁岐山竹叶斑
龙播时雨满天碧 马踏春风遍地金
一醉倾囊秋月冷 千愁染袖夜风悲
雄风疾扫庸懒散贪，定安长安定 盛世弘扬廉明清正，歌颂传颂歌
立业立德垂后世 克勤克俭振家风
请自今指海为盟，告我先生，所不同心如此水 更愿人闻风而起，读公遗集，亦将有感于斯文
飞燕有情依旧阁 锦鳞衔饵出清涟
凭惊天智勇，为共和护法 扬决死精神，让抗战生辉
守善求真方美丽 弘文尚武乃英豪
玉兔呈祥，喜驾天宫游广宇 金龙献瑞，再乘神九展雄风
清香溢远重廉洁 秀色飞霞更精神
村名天下，楼比岳阳，渭溪河曲折蜿蜒，更相宜洞庭秋水潇湘月 宗溯谷英，亲连海外，张氏族贤良温雅，不辜负孔孟文章孝友风
行远登高，万里鹏程关学问 博闻强识，三千才俊竞风流
松窗宿翠含风薄 云霭无心伴客闲
八万里中天倾大柱，回首联坛，繁荣景象开先启 五千年华夏仰风流，传名典范，锦绣文章鉴后生
道德文章千古颂 钟情恋爱一时鲜
人文福地，山水画廊，满城锦绣千般美 霞蔚园林，云蒸巷陌，一派和谐万物春
穆穆以仁哉，万仞宫墙凌北斗 煌煌于义也，千秋弦管起中原
数朵寒梅枝负雪 一堤瘦柳叶凝霜
雄威谁之俦？匹马单刀踊贼胆 佛法何其妙？五湖四海荷神庥
溪树色光成净赏 花香鸟语绝尘缘
科技光明眼 达标幸福人
何事于卿？风吹皱一弛春水 多情笑我，浪淘尽千古英雄
九曲惊涛，自万里奔来，尽收眼底 一轴画卷，倚三门挂起，永驻心间
幸福统计人，数据里掬来春色 潇洒耕耘者，分析中绘就蓝图
奇山腾瑞霭，迷蒙处，看涛卷云飞，鲸突舰驰，浑忘却醒中梦里 幽谷现晴岚，赞叹时，惊日浮焰射，浪摇光灿，实难分天上人间
构建文明社会 点燃不息心灯
挑灯听夜雨 撑伞看岸溪
作宰有何能？好管领洙泗流风、弦歌余韵 收帆无别意，最难忘园东荔子、城北榕萌
鹏鹗励羽翼 龙鸾炳文章
善创祥和和事佬 贤良俊俏俏佳人
不必现身说法 仅需见性明心
楼借词传，梦寄南乡，谁不识辛稼轩九重慷慨 人为景醉，栏凭北固，我来思谢太傅一等风神
日丽风和，两朵红花开并蒂 春融月朗，一对伴侣结同心
廿载龙飞，锁国早成史志 一枰星落，观棋已烂斧柯
士气高昂强国力 春风和煦暖人心
草底萤飞三两点 花前人誓九千年
弹冠相庆，消除水患 仔细一瞧，什锦涛声
一事无成，莫怨苍天，天道酬勤天有眼 千言劝善，如琢璞玉，玉石焕彩玉生香
故里花开遍 指间梦犹凉
锦绣河山添异彩 峥嵘岁月树丰碑
五谷酿精华，窖溢清醇，千载香熏秦岭月 一杯开境界，酒倾豪迈，九州客醉鳯翔春
境辟宏高，今日小联开大学 源流深远，诸君后世作先贤
钓叟无情横渔霸 王者有志大丈夫
历世有余荣，代代冠缨簪组 传家无别业，人人礼乐诗书
五福迎春堂溢彩 三羊开泰梦成真
拥九华山水，吞吐六泉摄圣境 卧地藏佛法，饱览五溪聚精灵
紫燕欢歌，韵带花香萦宝地 金蛇狂舞，堂添喜气闹新春
殿宇巍巍，钟震碧空严法界 佛功浩浩，寺拥绿野悟禅机
唧唧 哝哝
老树新花圆旧梦 左拥右抱尚中庸
多点冰清生粉藕 有些霸气又如何
数载共清谭，益知风范非常，岂意星偏沉斗极 千秋怀别恨，惟冀地灵卜吉，始征天不负斯人
春把定州才染绿 福将门户又贴红
酒泉一出香分瓮 药井初苔绿到窗
苔封石室云含润 花落春林水满溪
九十日大好春光，飘举忆霓裳，月下精灵曾独舞 三千界无情苦雨，收拾成珠泪，风中童话莫重聆
契合我心唯有酒 相知吾意独推琴
疏梅淡影谁轻点 窄巷细风自畅游
孝传河内，僾见忾闻，砚几筵犹是云台图画 族聚剡中，禀经酌雅，问品格依然虎观风流
点点春光花瓣雨 条条暗语火星文
人增福寿年增岁 鱼满池塘猪满栏
月破青云花弄影 风和日丽柳柔腰
德才少女妻为妙 恩爱二人男是夫
故里留声，伟人永在 心中有梦，大爱长存
幽谷人家，屋舍俨然存夕照 山村景象，炊烟飘渺泛金秋
强大三军圆国梦 富康九域得民心
灰飞烟灭无穷尽 玉殒香消有限生
雪舞春风，琼花蕴绿长城岭 梦圆冬奥，福字飘红妫水川
万朵梅花雪点开，映红国梦 千秋淮调风吹响，唤醒春心
饲马费心，牵马小心，拍马用心，心在马前马后 跑官忍气，当官神气，罢官怄气，气伤官得官丢
玉耸桥峰，晴岚挂甲柏 霞辉紫府，瑞气衣冠陵
潮白太平，渔阳鼙鼓消停六秩 燕歌奥运，圣火福音传播九州
四方妙谛，合归此处 百代精华，共筑书门
引鹤徐行三径晓 约梅同醉一壶春
银河益璀璨 世界更和谐
楼当山四面 月在水中央
名镇话风骚，追溯前唐，是谁将三卷史诗和盘托出 雄才垂竹帛，招安南诏，待我把一函羽檄拭目观来
行雁剪风，截去秋思万缕 群鱼戏月，掀开夜色一帘
粤海，日星月朗千秋耀 岭南，天地人和百世昌
赏心春色百花放 动魄魔风万马黯
临风把盏，长邀明月伴君醉 倚案挥毫，还请青梅助我香
赤日红枫，丹心燃烈火 乌龙黑雾，水牛上煤山
草衣木食留仙咏 碧落苍梧识道心
追溯龙根，回眸故里，锦褥尚温残烛依亮，起舞闻鸡图霸业 继传薪火，放眼时贤，佳音堪醉香梦正甜，裁春挥剪沐薰风
取税于民，用税于民，酬民取用秀山瑞 征之以法，持之以法，循法征持大梦圆
权重位高当自律 心慈手软叫人欺
宏伟蓝天鹏展翅 如茵碧野燕穿梭
卧榻旁鸣人已醒 战场上展敌终寒
迎春接福家庭乐 致富生财岁月甜
横笛梅花落 举杯竹叶青
创国征夷，汉越融合成整体 安边建郡，朝僚互助是元勋
善善恶恶，胸怀磊落 是是非非，衿抱光明
生死相随真不易 荣辱与共实为难
爱洒河东，情燃海内，永导和谐连续剧 上行德政，下济民生，长当发展主持人
对翻四海心何静 互动八方人不眠
帐底鸳鸯思永夜 案上烛光盼长风
佛口蛇心常惑众 鼠眉狗眼不象人
一笔青锋千里画 几杯浊酒万言诗
西望崇山峻岭，如滚滚波涛，卷走昔日狼烟，争鸣鼓角 东临绿野平畴，似融融画境，绘出今朝盛世，富庶城乡
穿冬衣，戴夏帽，糊涂春秋 生南方，来北边，什么东西
不让职权超制度 常将法律作天平
道吞宇宙，德润古今，天下开千秋圣业 灵溢峰林，气澄云海，山边敞一派宗师
月满中天圆两岸 日升大海照千山
良师不计孩儿过 慈母才知孺子心
敬业当如杜甫诗，诗牵国运 推诚恰似嵩山日，日暖民心
雁字回时，月满西楼故国梦 东蓠把酒，袖盈暗香女儿心
清馨清正荣清远 古韵古风誉古今
拉长幅度争门面 缩短流程变现钱
一叶随风，度尽寒波观自在 繁花凝露，润出春意笑弥勒
中文四五笔勾画 尾对三千指点联
独木隐清泉，此是僧家无上法 梵宫重选佛，要知罗汉有神通
尚礼能招中外客 厚德长载古今情
针头线尾寻常事 鸡毛蒜皮琐碎愁
杯中月色清如许 水上琴声胜过潮
文章为世，皓皓于斋，旨破六经曰录曰焚，毕生千卷西铭集 复社乃公，遑遑在野，岂凭孤学声朝声政？后事三年大顺旗
揽胜登高，群贤毕至 拔山举鼎，英气长存
雰雾盘空观化雨 清寒扑面好临风
拔地擎天，霞灿鸿楼千丈锦 迷星醉月，云蒸圣水一湖春
强国富民，融通经贸大环境 齐心合力，开创诗词新纪元
青松岭下桃花渡 采石矶边太白楼
一行小字为谁写 两岸鲜花拥姝来
通揽八方客 运交四海情
门盈紫气千秋旺 户乐红光万载兴
欲乘彩云追月魄 忽至狂雨响雷霆
晚秋不见悲鸿影 数九又掂马克思
美丽公园，红花绿叶春风醉 和谐马踏，碧水蓝天景色新
续弦有勇实堪赞 改嫁尚新应受尊
更宜明月含芳露 暂引寒泉濯远尘
形势喜人，咸庆门庭添幸福 婚姻自主，不求彩礼尚文明
功夫尽在诗书外 字句且看山水中
愿借飞舟，穿透云天程自远 不移壮志，遨游学海我何痴
一院飞花弦又断 长天去雁几时还
群山霭遐瞩 风景满清听
细雨敲窗春问路 清风摇竹月听弦
发展壮黄墩，精品蓝莓兴大业 观光推绿色，新型生态连游人
山静好寻禅，侧耳听来，扬子江声飞远近 门开方入境，随心看取，青云塔影涌沉浮
换岁启元兴燕赵 转型发展舞乾坤
童话乐书人心善 美名犹胜茉莉香
红颜逝去花空叹 皓首团圆月自明
应为芬芳比君子 不妨文字问知音
从小就能当干部 将来必定是人才
叠秀瑚琳，千秋风月，柳浪莲花生爽气 流光宗谱，万卷史诗，文魁武尉耀青天
翠腕成阑，金钗沽酒 宫中才子，梓里诗人
自有千秋，未许高山成别调 人来万里，还将流水寄深情
依然流水无情去 怕是天涯从此孤
楩楠出地归名匠 柱石擎天属伟人
宝地宜居，一派春光延庆事 嘉宾咸集，八方福气聚京城
叶落而知秋意 清流难动石头
同是肚肠，饱者不知饥者苦 一般面目，得时休笑失时人
身捐家国，气壮尼山，一代英魂眠故地 功载春秋，名辉漷水，四屏峻岭仰丰碑
门前犀水，奔腾八卦太极弄武，好不大气 城内福泉，弹唱张仙孔圣韵文，硬是风光
尚武崇文，民强国泰 扬清激浊，霞蔚云蒸
雁遂夕阳投塞北 鸿拖秋色下江南
地老天荒，哪位天神遭贬降凡界 星昏仙度，七个仙女私逃怒玉庭
鱼跃大湖，化龙破壁 鸡鸣高地，引凤来仪
抛诗泼墨楹联热 点键截屏网恋忙
假君子 真水仙
世事如棋难预料 生平任性不胡来
石亦知廉，霜雪不沾尘不染 人当砺志，清贫为乐俭为荣
月下徘徊无举措 夜间出没有图谋
输赢早弃尘埃里 胜负已没岁月中
翠色四天垂，行傍柳阴闻好语 清友群芳右，更把梅花比那人
挂肚牵肠，昙蒨未尝喜女色 知情重意，子高何必畏男身
柳臂一邀风入户 鸡冠三抖日临窗
三径竹风声悦耳 半塘柳屏色随心
西子入吴，吴王欢喜 小人得志，志气傲嚣
禽飞鱼游，何所独无天趣 水流花放，于中时有会心
语录不离呼万岁 阴谋诡计祸三公
鬼狐有性格 笑骂成文章
铜驼荆棘，公去安之，况梦断觚棱，垂老尚闻鹃桥畔 白马素车，我来何暮？只眼枯沧海，此身亦化鹤人间
柔弱成风没骨气 娇嗔入韵有骚情
和谐社会，食足衣丰，寿高百岁非是梦 锦绣如皋，情浓意美，花灿千年已成仙
政策暖民心，三江流碧水 阳光铺大地，五岳放金华
四海龙腾佳日去 千年蛇蛰早春来
携谁隐去山林老 放棹归来云水闲
经济繁荣，村中到处高楼矗立 生活时尚，手上随即电话联通
百业振兴，花团锦簇十八大 九州崛起，政善人和六五春
爆竹花开灯结彩 春红柳发岁更新
自鼓自擂皮影戏 能歌能舞播音机
湖畔谈心，倩影双双对 天边展翅，仪形列列排
一寺钟声宏以远，传西方其灵，只缘崇武证禅，声鸣北斗 九莲岚气幻而宁，衔南拳之谛，应示形游神往，气抱东曦
方案圆桌定 清官污吏嫌
兆仙机是幻如真，若虚非渺 赖神庥聚庐相望，比户可封
解带依芳草 支颐想故山
心之所爱未尝老 掌上明珠最可欣
碧草沿阶欲入户 绿风漫野醉舒心
抖落一程雪 催开半树梅
不惑又如何？难得糊涂，劝君更尽三杯酒 既生休局束，无妨放纵，邀月再吟六十年
乘风破浪 跃马扬鞭
风过韵浓，雨声添瓦漏 月移香暗，梅影补屋疏
丹心誓愿昂头死 碧血甘为报国流
大笔著名区，高新环境，便捷交通，七纵七横佳格局 旺年看肇庆，幸福民生，和谐世相，一花一木倍温馨
灯火珠帘，尽由佳人居北里 笙歌画舫，独教芳冢占西泠
万里春光满 千家瑞气新
家藏千卷书，不忘虞廷十六字 目空天下士，只让尼山一个人
勤功汇客通四海 基业长青泽八方
世上无难事 人间有真情
溪风送雨过秋寺 古径穿云到石窗
苦雨 祥云
人间不作伤心语 悟后已成夺目花
精进修行，为人师表 严持戒律，息世讥嫌
首饰橱中黄品冠 小桔灯里谢冰心
和把春泥育诗种 掬瓢细雨润歌魂
千年岩髓蕴禅骨 一盏芦溪透杏香
雪花引我生梅骨 秋雨任他老菊心
后悔 头昏
德彰崇信，学蔚创新，五十年化雨催花艳 情系育才，志酬报国，百余颗丹心映烛红
武报国，文修身，傲骨铮铮，诗传青史丹心照 生践仁，死取义，忠魂烈烈，峰矗中华正气存
室外 身旁
伏虎钓鱼争抗日 醒狮望月要飞天
如来如去，如何是好 可染可描，可巧为佳
冬亦殷勤，惜雨洒雪飞，云遮广宇心无奈 爱仍真挚，盼气清天朗，身暖寰球世共欢
惯借长风听鹤唳 常依翠柳赏莺啼
西台义动三千客 北斗光明二百州
曲水流觞三百斛 逆风下海二卅舟
王朝更替兴衰事 史册流传真假文
名重凌霜节 山高卧雪莲
柱石久铭勋，逢重九节，拜九重恩命 岩疆仍锡羡，赐十七物，祝七十生辰
运行日月论宵昼 旋转铜钟按秒时
雨霁鹤冲天，虹桥飞渡 月出竹扫地，风曲萦回
处世一条勤与俭 为官二字正和廉
穴古鬼也靓 山高人为峰
五星独步 明炳几先
东风一路运诗笔 明月两窗醉画魂
孔乐韩土 震惊徐方
打翻春雨一壶绿 摇过湖烟两棹幽
登堂入室丹青手 贯墨画丫哭笑人
美稼秋登万石 垂杨春丽六桥
月涌春江，倩影波光生幻梦 霞披秋岭，金枝玉叶染红心
旭日九州千业锦 浓情百族一家亲
满案清辉摇竹影 一轮旭日映江光
浏览城中西湖，游人叹景 遐思梁上君子，伏地扣头
闻香听雨知春暖 惊梦伤风晓夜珊
桃李竞芬芳，于斯为盛 杏坛多俊秀，惟此有材
媚柳勾来王谢燕 黄梅调上白头翁
厦沐春风，朝迎瑞气晚迎喜 门连海峡，日盼团圆夜盼归
雾喷云崖飞彩练 人行木栈映寒潭
沐国策风，丝路唱新歌，一会一节花并蒂 承黄河露，明珠辉异彩，好山好水凤来仪
平平淡淡心情畅 顺顺当当钱财多
地裂山崩，党政应急，高原扶玉树 人亲爱重，军民奋战，青海救灾程
近者悦，远者来，红区绿野常留客 得之心，寓之目，玉女新妆更醉人
月探小窗，沾一点文风墨趣 诗题梦境，醉那篇人面桃花
钟鼓齐鸣除旧岁 凤龙共舞贺新春
时下流行红眼病 无中生有老年痴
无事常玩国粹 有人爱耍花腔
移灯幻彩，惊游冥府烟花色 冷瀑流灵，叹赏地宫别样天
定州扬帆，盛世崇文品潇洒 平水踏浪，春风得志观从容
长略画荆楚，乾元始肇 宏谟献世林，壮志方图
电缆兴村，魅力十分添冀彩 联花缀景，奇葩一朵沐春风
岁月当成诗去卖 沧桑兑入酒来酌
葵开猩血染 笋出虎皮包
不与春风争大雅 但凭杯酒长精神
瑞气盈庭，一门兴旺 甘霖沃野，五谷丰登
落红无数离人泪 断雁几声羁客心
春涨东江花照水 周容贾岛柳屯田
满脸皱纹似花绽 一江春水向东流
客梦烟中寺 诗思月下门
风清流水当门转 春暖飞花归岸来
水送千帆影 风拾四野香
蝶舞红桃坞 鸥翔碧宇天
光景不回波自远 秋蓬常转水长闲
德曜贲临，自是所过者化 苍生得托，直教乐在其中
北极玄天，灵物龟蛇驯玉座 南滇福地，名山鹦凤拱金堂
骤雨拥花同落地 寒风劝叶早归根
腾雪云飞，风霜威猛奔头恐 炫金玉卧，双银秘海中华游
蔬果时来尝，近三分自然，人都梦想农家乐 田园皆认种，带几丝乡趣，谁不心仪生态游
度一切怨亲生净土 于十方浊恶起悲心
日照碧霞新世界 月临泰岱玉乾坤
日暖园林花易赏 雪寒村舍酒难沽
大节继高风，光耀一门俎豆 小臣知死所，香分万树梅花
岁月遗留猫耳洞 穹窿藏尽石头花
冷露清霜香小菊 微风细雨润疏篱
